0.01423          -7.17500       
0.01423          -7.17500       
0.03861          -7.17560       
0.06299          -7.17605       
0.08737          -7.17645       
0.11175          -7.17660       
0.11175          -7.17660       
0.13613          -7.17720       
0.16051          -7.17765       
0.18489          -7.17805       
0.20927          -7.17814       
0.20927          -7.17814       
0.23366          -7.17871       
0.25804          -7.17915       
0.28242          -7.17955       
0.30680          -7.17965       
0.30680          -7.17965       
0.33118          -7.18022       
0.35556          -7.18066       
0.37994          -7.18111       
0.40432          -7.18125       
0.40432          -7.18125       
0.42870          -7.18182       
0.45308          -7.18226       
0.47746          -7.18271       
0.50022          -7.18295       
0.52622          -7.18303       
0.55060          -7.18311       
0.57498          -7.18319       
0.59936          -7.18326       
0.62374          -7.18334       
0.64812          -7.18341       
0.67251          -7.18349       
0.69689          -7.18357       
0.72127          -7.18364       
0.74565          -7.18372       
0.77003          -7.18379       
0.79441          -7.18387       
0.81879          -7.18395       
0.84317          -7.18393       
0.86755          -7.18354       
0.86755          -7.18354       
0.89396          -7.18373       
0.88787          -7.18376       
0.91631          -7.18334       
0.94069          -7.18263       
0.94069          -7.18263       
0.96507          -7.18224       
0.98945          -7.18130       
0.98945          -7.18130       
1.01383          -7.18050       
1.03821          -7.17923       
1.06259          -7.17772       
1.08697          -7.17596       
1.11136          -7.17388       
1.13574          -7.17142       
1.16012          -7.16860       
1.18450          -7.16540       
1.20888          -7.16178       
1.23488          -7.15755       
1.22513          -7.15922       
1.25764          -7.15311       
1.28364          -7.14768       
1.27389          -7.14982       
1.30802          -7.14184       
1.29827          -7.14425       
1.33241          -7.13529       
1.32265          -7.13800       
1.35719          -7.12792       
1.35110          -7.12981       
1.38117          -7.11996       
1.37141          -7.12328       
1.40555          -7.11110       
1.39579          -7.11475       
1.43033          -7.10118       
1.42424          -7.10372       
1.45431          -7.09065       
1.44456          -7.09503       
1.47869          -7.07890       
1.46894          -7.08373       
1.50307          -7.06603       
1.49332          -7.07131       
1.52745          -7.05191       
1.51770          -7.05773       
1.55183          -7.03659       
1.54208          -7.04285       
1.57621          -7.02008       
1.56646          -7.02686       
1.60059          -7.00214       
1.59084          -7.00947       
1.61522          -6.99040       
1.61928          -6.98712       
1.63147          -6.97703       
1.63554          -6.97357       
1.64935          -6.96182       
1.64773          -6.96327       
1.66561          -6.94698       
1.66398          -6.94850       
1.68186          -6.93133       
1.68023          -6.93293       
1.69811          -6.91472       
1.69649          -6.91643       
1.71437          -6.89720       
1.71274          -6.89900       
1.73062          -6.87825       
1.73712          -6.87062       
1.74687          -6.85909       
1.74525          -6.86109       
1.76313          -6.83861       
1.76150          -6.84070       
1.77979          -6.81612       
1.78792          -6.80499       
1.78385          -6.81060       
1.80417          -6.78194       
1.81230          -6.76988       
1.80620          -6.77897       
1.80214          -6.78488       
1.82814          -6.74564       
1.82245          -6.75447       
1.83058          -6.74178       
1.84277          -6.72209       
1.85090          -6.70866       
1.84684          -6.71551       
1.84277          -6.72209       
1.85903          -6.69444       
1.86715          -6.68021       
1.85903          -6.69444       
1.87528          -6.66568       
1.87122          -6.67299       
1.88341          -6.65077       
1.87934          -6.65827       
1.89153          -6.63550       
1.88747          -6.64318       
1.89966          -6.61985       
1.89560          -6.62772       
1.90779          -6.60385       
1.90372          -6.61190       
1.91591          -6.58747       
1.91185          -6.59571       
1.92607          -6.56651       
1.91998          -6.57914       
1.93420          -6.54929       
1.92810          -6.56225       
1.94233          -6.53167       
1.95045          -6.51360       
1.94029          -6.53612       
1.95858          -6.49509       
1.94842          -6.51816       
1.96671          -6.47566       
1.95655          -6.49976       
1.97483          -6.45629       
1.96874          -6.47087       
1.98296          -6.43642       
1.97686          -6.45137       
1.99109          -6.41605       
1.98499          -6.43137       
1.99718          -6.40044       
1.99312          -6.41089       
2.00531          -6.37916       
2.00125          -6.38986       
2.01506          -6.35293       
2.00937          -6.36832       
2.02156          -6.33501       
2.01750          -6.34626       
2.03131          -6.30754       
2.02563          -6.32363       
2.03944          -6.28403       
2.03375          -6.30055       
2.04757          -6.26006       
2.05570          -6.23556       
2.04594          -6.26490       
2.06382          -6.21036       
2.05813          -6.22807       
2.05407          -6.24051       
2.07032          -6.18977       
2.06626          -6.20269       
2.07845          -6.16374       
2.07845          -6.16374       
2.07439          -6.17703       
2.07032          -6.18977       
2.08861          -6.13011       
2.08658          -6.13710       
2.08251          -6.15064       
2.07845          -6.16374       
2.09633          -6.10377       
2.09470          -6.10939       
2.09064          -6.12322       
2.10486          -6.07304       
2.10283          -6.08030       
2.10283          -6.08030       
2.09470          -6.10939       
2.11096          -6.05000       
2.11096          -6.05000       
2.11096          -6.05000       
2.10283          -6.08030       
2.12071          -6.01316       
2.11908          -6.01942       
2.11908          -6.01942       
2.11908          -6.01942       
2.11096          -6.05000       
2.12884          -5.97978       
2.12721          -5.98631       
2.12721          -5.98631       
2.12721          -5.98631       
2.11908          -6.01942       
2.11908          -6.01942       
2.13737          -5.94278       
2.13534          -5.95136       
2.13534          -5.95136       
2.13534          -5.95136       
2.13534          -5.95136       
2.12721          -5.98631       
2.12721          -5.98631       
2.14347          -5.91599       
2.14347          -5.91599       
2.14347          -5.91599       
2.14347          -5.91599       
2.14347          -5.91599       
2.14347          -5.91599       
2.13940          -5.93403       
2.13534          -5.95136       
2.13534          -5.95136       
2.13534          -5.95136       
2.15322          -5.86861       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
2.15159          -5.87625       
